Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Atlassian Project),Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
"Change Request: Enhanced approval task modal with project/programme context, baseline badge, benefits impact, decision maker capture",J2-275,11199,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,Medium,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,24/Jun/26 5:15 PM,25/Jun/26 12:56 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i0027j:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,24/Jun/26 5:15 PM
"Change Request: Add 'Rejected' status (3) to models, labels, colors, KPI cards & filter options",J2-274,11198,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,Medium,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,24/Jun/26 5:15 PM,25/Jun/26 12:56 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i0027b:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,24/Jun/26 5:15 PM
Bug Fix: fetchPendingApprovalRequests pm_portfolioname query error (Removed non-existent field from $select),J2-273,11197,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,High,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,24/Jun/26 5:15 PM,25/Jun/26 12:56 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i00273:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,24/Jun/26 5:15 PM
Bug Fix: Timesheet entry update Entity Reference error (Converted _pm_project_value/_pm_projecttask_value to @odata.bind navigation properties),J2-272,11196,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,High,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,24/Jun/26 5:15 PM,25/Jun/26 12:56 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i0026v:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,24/Jun/26 5:15 PM
WCAG 2.1 AA Accessibility — No accessibility implementation,J2-271,11163,Task,To Do,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,High,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,24/Jun/26 12:45 PM,24/Jun/26 12:45 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i0026n:,,,,,,10127,J2-14,Power Platform PPM Solution,To Do,24/Jun/26 12:45 PM
API-level RBAC — Add $filter based on user persona in service calls,J2-270,11162,Task,To Do,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,High,,Suvigya Kumawat,712020:24640fe3-bd21-4cc6-9692-4770d9b78aae,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,24/Jun/26 12:45 PM,24/Jun/26 12:45 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i0026f:,,,,,,10127,J2-14,Power Platform PPM Solution,To Do,24/Jun/26 12:45 PM
Column-level security — Hide financial fields from unauthorized personas,J2-269,11161,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,Medium,,Suvigya Kumawat,712020:24640fe3-bd21-4cc6-9692-4770d9b78aae,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,24/Jun/26 12:45 PM,24/Jun/26 12:45 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i00267:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,24/Jun/26 12:45 PM
"Row-level data filtering — expand to Resources, Projects, Timesheets, Risks, Tasks",J2-268,11160,Task,To Do,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,High,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,24/Jun/26 12:45 PM,24/Jun/26 12:45 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i0025z:,,,,,,10127,J2-14,Power Platform PPM Solution,To Do,24/Jun/26 12:45 PM
Add unit/integration/E2E tests — Zero tests currently,J2-267,11159,Task,To Do,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,High,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,24/Jun/26 12:45 PM,24/Jun/26 12:45 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i0025r:,,,,,,10127,J2-14,Power Platform PPM Solution,To Do,24/Jun/26 12:45 PM
"Fix 1389 ESLint errors — pervasive any types, empty catch blocks, React hook violations",J2-266,11158,Task,To Do,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,Medium,,Suvigya Kumawat,712020:24640fe3-bd21-4cc6-9692-4770d9b78aae,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,24/Jun/26 12:45 PM,24/Jun/26 12:45 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i0025j:,,,,,,10127,J2-14,Power Platform PPM Solution,To Do,24/Jun/26 12:45 PM
"Bug Fix: Silent error swallowing in services (Added console.error logs and error propagation to all 25+ services, H9)",J2-265,11157,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,High,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,24/Jun/26 12:45 PM,25/Jun/26 12:56 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i0025b:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,24/Jun/26 12:45 PM
"Bug Fix: useDataGrid React hook violation (Stable memoization of search fields and filter functions, H8)",J2-264,11156,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,Medium,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,24/Jun/26 12:45 PM,25/Jun/26 12:56 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i00253:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,24/Jun/26 12:45 PM
"Bug Fix: New timesheet creation period validation, resource selection enforcement, and future limit checks",J2-263,11155,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,High,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,24/Jun/26 12:45 PM,25/Jun/26 12:56 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i0024v:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,24/Jun/26 12:45 PM
Bug Fix: Timesheet Submitted By / Approved By fields mapping and column selection in service,J2-262,11154,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,Medium,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,24/Jun/26 12:45 PM,25/Jun/26 12:56 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i0024n:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,24/Jun/26 12:45 PM
Bug Fix: Timesheet grid hours race condition (Returned computed totals from recalculate endpoint to state),J2-261,11153,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,High,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,24/Jun/26 12:45 PM,25/Jun/26 12:56 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i0024f:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,24/Jun/26 12:45 PM
Bug Fix: Resource allocation availability calculation and warnings overlap logic in Dialog,J2-260,11152,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,High,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,24/Jun/26 12:45 PM,25/Jun/26 12:56 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i00247:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,24/Jun/26 12:45 PM
Bug Fix: Programme budget child project rollup aggregation correction,J2-259,11151,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,Medium,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,24/Jun/26 12:45 PM,25/Jun/26 12:56 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i0023z:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,24/Jun/26 12:45 PM
Bug Fix: Status Snapshot create ODataException (Formatted ownerid using systemusers bind path format),J2-258,11150,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,High,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,24/Jun/26 12:45 PM,25/Jun/26 12:56 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i0023r:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,24/Jun/26 12:45 PM
Bug Fix: Status Snapshot grid silent loading (Removed non-existent fields from OData select query),J2-257,11149,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,High,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,24/Jun/26 12:45 PM,25/Jun/26 12:56 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i0023j:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,24/Jun/26 12:45 PM
Bug Fix: Financial Review Task empty view (Resolved entity type to fetch project initiative data instead of gate review),J2-256,11148,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,High,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,24/Jun/26 12:45 PM,25/Jun/26 12:56 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i0023b:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,24/Jun/26 12:45 PM
Bug Fix: Tab Switch Flash (Maintained loading state until UserContext resolves completely),J2-255,11147,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,Medium,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,24/Jun/26 12:45 PM,25/Jun/26 12:56 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i00233:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,24/Jun/26 12:45 PM
Bug Fix: Tasks Visibility Glitch (Matched both userId GUID and username string against assignee names),J2-254,11146,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,High,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,24/Jun/26 12:45 PM,25/Jun/26 12:56 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i0022v:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,24/Jun/26 12:45 PM
Bug Fix: Task List Refresh Failure (Dispatched FORM_DIALOG_DECISION_EVENT to trigger parent reload),J2-253,11145,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,High,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,24/Jun/26 12:45 PM,25/Jun/26 12:57 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i0022n:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,24/Jun/26 12:45 PM
Bug Fix: Timesheet Approval Status Reverting to Draft (Corrected status option set values),J2-252,11144,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,High,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,24/Jun/26 12:45 PM,25/Jun/26 12:57 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i0022f:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,24/Jun/26 12:45 PM
Agent Insights Service — Automated analytics insight generation service layer,J2-251,11143,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,Low,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,24/Jun/26 12:45 PM,25/Jun/26 12:57 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i00227:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,24/Jun/26 12:45 PM
"Configurations Tile Navigation — Navigation tiles routing to Teams, Skills, Holidays, Resources, and Workflows",J2-250,11142,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,Medium,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,24/Jun/26 12:44 PM,25/Jun/26 12:57 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i0021z:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,24/Jun/26 12:44 PM
"Holidays Management — CRUD operations, seed dialog, calendar view, details panel, table search/filter",J2-249,11141,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,Medium,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,24/Jun/26 12:44 PM,25/Jun/26 12:57 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i0021r:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,24/Jun/26 12:44 PM
"Custom Hooks — useAuthorization, useDataGrid, useDataverseAsync, useDataverseCrud",J2-248,11140,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,Medium,,Suvigya Kumawat,712020:24640fe3-bd21-4cc6-9692-4770d9b78aae,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,24/Jun/26 12:44 PM,25/Jun/26 12:57 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i0021j:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,24/Jun/26 12:44 PM
"Common Component Library — 34 reusable components (DataverseTable, DetailDrawer, etc.)",J2-247,11139,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,Medium,,Suvigya Kumawat,712020:24640fe3-bd21-4cc6-9692-4770d9b78aae,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,24/Jun/26 12:44 PM,25/Jun/26 12:57 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i0021b:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,24/Jun/26 12:44 PM
"Changelog Service — Audit logging with session ID from Xrm context, entity-level change tracking",J2-246,11138,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,Medium,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,24/Jun/26 12:44 PM,25/Jun/26 12:57 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i00213:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,24/Jun/26 12:44 PM
Audit Trail / Activity Log — changelog.service.ts writes audit entries on all CRUD operations,J2-245,11137,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,High,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,24/Jun/26 12:44 PM,25/Jun/26 12:57 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i0020v:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,24/Jun/26 12:44 PM
Financial Layout Customization — Move totals cards to budget lines grid footer row,J2-244,11136,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,Medium,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,24/Jun/26 12:44 PM,25/Jun/26 12:57 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i0020n:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,24/Jun/26 12:44 PM
"EVM Financial KPIs — Implement EV, CPI, EAC, CV metrics in financials tab",J2-243,11135,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,High,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,24/Jun/26 12:44 PM,25/Jun/26 12:57 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i0020f:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,24/Jun/26 12:44 PM
"Financial KPI Dashboard — Budget vs actual, cashflow projections, funding utilization",J2-242,11134,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,Medium,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,24/Jun/26 12:44 PM,25/Jun/26 12:57 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i00207:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,24/Jun/26 12:44 PM
"Financial Rollup Engine — Portfolio-level budget aggregation, programme budget consolidation",J2-241,11133,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,High,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,24/Jun/26 12:44 PM,25/Jun/26 12:57 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i001zz:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,24/Jun/26 12:44 PM
"Document Upload & Management — Document CRUD, binary upload, EntityDocumentsTab",J2-240,11132,Task,Done,J2,June 2026,software,Akash Kumar,712020:dcf825d3-8faf-42c1-bcf6-83eca8bf1861,Your first project,Medium,,Suvigya Kumawat,712020:24640fe3-bd21-4cc6-9692-4770d9b78aae,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,24/Jun/26 12:44 PM,25/Jun/26 12:57 PM,,,,0,,,Ravi Paliwal,712020:c5a8fc88-0fa8-40c7-ae48-0c346ce97909,,,,,,,,,,,,0|i001zr:,,,,,,10127,J2-14,Power Platform PPM Solution,In Progress,24/Jun/26 12:44 PM
